"t0","t1","t1_normalized","tweets_count","indicator"
2018-09-29 23:00:00, 2018-09-29 23:59:59, 2018-09-30 00:00:00, 4689, 0.137
2018-09-30 00:00:00, 2018-09-30 00:59:57, 2018-09-30 01:00:00, 4995, 0.158
2018-09-30 01:00:00, 2018-09-30 01:59:59, 2018-09-30 02:00:00, 5049, 0.163
2018-09-30 02:00:00, 2018-09-30 02:59:59, 2018-09-30 03:00:00, 4883, 0.179
2018-09-30 03:00:00, 2018-09-30 03:59:59, 2018-09-30 04:00:00, 5040, 0.182
2018-09-30 04:00:00, 2018-09-30 04:59:59, 2018-09-30 05:00:00, 5357, 0.184
2018-09-30 05:00:00, 2018-09-30 05:59:58, 2018-09-30 06:00:00, 5381, 0.181
2018-09-30 06:00:00, 2018-09-30 06:59:59, 2018-09-30 07:00:00, 5688, 0.172
2018-09-30 07:00:00, 2018-09-30 07:59:58, 2018-09-30 08:00:00, 7087, 0.165
2018-09-30 08:00:00, 2018-09-30 08:59:59, 2018-09-30 09:00:00, 6542, 0.150
2018-09-30 09:00:00, 2018-09-30 09:59:59, 2018-09-30 10:00:00, 6873, 0.178
2018-09-30 10:00:00, 2018-09-30 10:59:59, 2018-09-30 11:00:00, 6939, 0.164
2018-09-30 11:00:00, 2018-09-30 11:59:59, 2018-09-30 12:00:00, 6952, 0.156
2018-09-30 12:00:00, 2018-09-30 12:59:59, 2018-09-30 13:00:00, 7106, 0.178
2018-09-30 13:00:00, 2018-09-30 13:59:59, 2018-09-30 14:00:00, 7350, 0.183
2018-09-30 14:00:00, 2018-09-30 14:59:59, 2018-09-30 15:00:00, 7255, 0.179
2018-09-30 15:00:00, 2018-09-30 15:59:59, 2018-09-30 16:00:00, 7168, 0.169
2018-09-30 16:00:00, 2018-09-30 16:59:59, 2018-09-30 17:00:00, 6994, 0.175
2018-09-30 17:00:00, 2018-09-30 17:59:59, 2018-09-30 18:00:00, 6722, 0.206
2018-09-30 18:00:00, 2018-09-30 18:59:59, 2018-09-30 19:00:00, 6522, 0.214
2018-09-30 19:00:00, 2018-09-30 19:59:59, 2018-09-30 20:00:00, 6469, 0.242
2018-09-30 20:00:00, 2018-09-30 20:59:58, 2018-09-30 21:00:00, 5627, 0.174
2018-09-30 21:00:00, 2018-09-30 21:59:58, 2018-09-30 22:00:00, 5041, 0.174
2018-09-30 22:00:00, 2018-09-30 22:59:59, 2018-09-30 23:00:00, 5069, 0.192
2018-09-30 23:00:00, 2018-09-30 23:59:57, 2018-10-01 00:00:00, 4758, 0.159
2018-10-01 00:00:00, 2018-10-01 00:59:59, 2018-10-01 01:00:00, 4903, 0.168
2018-10-01 01:00:00, 2018-10-01 01:59:58, 2018-10-01 02:00:00, 4853, 0.169
2018-10-01 02:00:00, 2018-10-01 02:59:59, 2018-10-01 03:00:00, 5256, 0.169
2018-10-01 03:00:00, 2018-10-01 03:59:59, 2018-10-01 04:00:00, 5181, 0.172
2018-10-01 04:00:00, 2018-10-01 04:59:59, 2018-10-01 05:00:00, 5536, 0.166
2018-10-01 05:00:00, 2018-10-01 05:59:59, 2018-10-01 06:00:00, 5666, 0.163
2018-10-01 06:00:00, 2018-10-01 06:59:59, 2018-10-01 07:00:00, 6039, 0.169
2018-10-01 07:00:00, 2018-10-01 07:59:59, 2018-10-01 08:00:00, 7046, 0.159
2018-10-01 08:00:00, 2018-10-01 08:59:59, 2018-10-01 09:00:00, 5696, 0.155
2018-10-01 09:00:00, 2018-10-01 09:59:59, 2018-10-01 10:00:00, 7690, 0.180
2018-10-01 10:00:00, 2018-10-01 10:59:59, 2018-10-01 11:00:00, 8221, 0.177
2018-10-01 11:00:00, 2018-10-01 11:59:59, 2018-10-01 12:00:00, 8045, 0.177
2018-10-01 12:00:00, 2018-10-01 12:59:59, 2018-10-01 13:00:00, 8924, 0.202
2018-10-01 13:00:00, 2018-10-01 13:59:59, 2018-10-01 14:00:00, 9610, 0.205
2018-10-01 14:00:00, 2018-10-01 14:59:59, 2018-10-01 15:00:00, 9701, 0.209
2018-10-01 15:00:00, 2018-10-01 15:59:59, 2018-10-01 16:00:00, 8915, 0.205
2018-10-01 16:00:00, 2018-10-01 16:59:59, 2018-10-01 17:00:00, 8169, 0.173
2018-10-01 17:00:00, 2018-10-01 17:59:59, 2018-10-01 18:00:00, 7746, 0.188
2018-10-01 18:00:00, 2018-10-01 18:59:59, 2018-10-01 19:00:00, 8036, 0.210
2018-10-01 19:00:00, 2018-10-01 19:59:58, 2018-10-01 20:00:00, 6946, 0.176
2018-10-01 20:00:00, 2018-10-01 20:59:59, 2018-10-01 21:00:00, 3939, 0.140
