t0,t1,t1_normalized,tweets_count,indicator
2018-10-12 00:00:00, 2018-10-12 00:59:58, 2018-10-12 01:00:00, 4977, 0.141
2018-10-12 01:00:00, 2018-10-12 01:59:58, 2018-10-12 02:00:00, 5179, 0.129
2018-10-12 02:00:00, 2018-10-12 02:59:48, 2018-10-12 03:00:00, 5220, 0.166
2018-10-12 03:00:00, 2018-10-12 03:59:36, 2018-10-12 04:00:00, 5489, 0.170
2018-10-12 04:00:00, 2018-10-12 04:59:17, 2018-10-12 05:00:00, 5444, 0.184
2018-10-12 05:00:00, 2018-10-12 05:59:59, 2018-10-12 06:00:00, 5398, 0.168
2018-10-12 06:00:00, 2018-10-12 06:59:59, 2018-10-12 07:00:00, 5691, 0.180
2018-10-12 07:00:00, 2018-10-12 07:59:59, 2018-10-12 08:00:00, 7460, 0.132
2018-10-12 08:00:00, 2018-10-12 08:59:59, 2018-10-12 09:00:00, 6306, 0.151
2018-10-12 09:00:00, 2018-10-12 09:59:59, 2018-10-12 10:00:00, 7460, 0.147
2018-10-12 10:00:00, 2018-10-12 10:59:54, 2018-10-12 11:00:00, 6565, 0.170
2018-10-12 11:00:00, 2018-10-12 11:59:46, 2018-10-12 12:00:00, 7141, 0.161
2018-10-12 12:00:00, 2018-10-12 12:59:59, 2018-10-12 13:00:00, 6834, 0.152
2018-10-12 13:00:00, 2018-10-12 13:59:59, 2018-10-12 14:00:00, 7214, 0.168
2018-10-12 14:00:00, 2018-10-12 14:59:59, 2018-10-12 15:00:00, 7450, 0.178
2018-10-12 15:00:00, 2018-10-12 15:59:59, 2018-10-12 16:00:00, 7298, 0.170
2018-10-12 16:00:00, 2018-10-12 16:59:52, 2018-10-12 17:00:00, 7221, 0.155
2018-10-12 17:00:00, 2018-10-12 17:59:59, 2018-10-12 18:00:00, 6956, 0.160
2018-10-12 18:00:00, 2018-10-12 18:59:47, 2018-10-12 19:00:00, 5961, 0.164
2018-10-12 19:00:00, 2018-10-12 19:59:48, 2018-10-12 20:00:00, 5851, 0.174
2018-10-12 20:00:00, 2018-10-12 20:59:59, 2018-10-12 21:00:00, 5936, 0.157
2018-10-12 21:00:00, 2018-10-12 21:59:58, 2018-10-12 22:00:00, 5534, 0.151
2018-10-12 22:00:00, 2018-10-12 22:59:31, 2018-10-12 23:00:00, 4939, 0.151
2018-10-12 23:00:00, 2018-10-12 23:59:57, 2018-10-13 00:00:00, 4503, 0.144
2018-10-13 00:00:00, 2018-10-13 00:59:59, 2018-10-13 01:00:00, 4329, 0.158
2018-10-13 01:00:00, 2018-10-13 01:59:26, 2018-10-13 02:00:00, 4281, 0.158
2018-10-13 02:00:00, 2018-10-13 02:59:59, 2018-10-13 03:00:00, 4628, 0.180
2018-10-13 03:00:00, 2018-10-13 03:59:48, 2018-10-13 04:00:00, 5072, 0.222
2018-10-13 04:00:00, 2018-10-13 04:59:48, 2018-10-13 05:00:00, 5027, 0.202
2018-10-13 05:00:00, 2018-10-13 05:59:31, 2018-10-13 06:00:00, 4811, 0.181
2018-10-13 06:00:00, 2018-10-13 06:59:52, 2018-10-13 07:00:00, 5162, 0.150
2018-10-13 07:00:00, 2018-10-13 07:59:49, 2018-10-13 08:00:00, 5721, 0.150
2018-10-13 08:00:00, 2018-10-13 08:59:36, 2018-10-13 09:00:00, 5197, 0.149
2018-10-13 09:00:00, 2018-10-13 09:59:45, 2018-10-13 10:00:00, 6100, 0.155
2018-10-13 10:00:00, 2018-10-13 10:59:59, 2018-10-13 11:00:00, 6076, 0.169
2018-10-13 11:00:00, 2018-10-13 11:59:49, 2018-10-13 12:00:00, 5795, 0.174
2018-10-13 12:00:00, 2018-10-13 12:59:59, 2018-10-13 13:00:00, 5830, 0.172
2018-10-13 13:00:04, 2018-10-13 13:59:48, 2018-10-13 14:00:04, 5993, 0.185
2018-10-13 14:00:00, 2018-10-13 14:59:44, 2018-10-13 15:00:00, 6205, 0.180
