@relation 2018-09-11-tweets-weka.filters.unsupervised.attribute.Remove-R3

@attribute close_price_up {true,false}
@attribute ' close_price_down' {' false',' true'}
@attribute ' neg' {' false'}
@attribute ' pos' {' true'}

@data
true,' false',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
false,' true',' false',' true'
false,' true',' false',' true'
true,' false',' false',' true'
true,' false',' false',' true'
