@relation 'all-weka.filters.unsupervised.attribute.Remove-R1-2,4,7'

@attribute close_price_up {' true',' false'}
@attribute prive_variation numeric
@attribute volumeFrom numeric

@data
' true',0.0029,-0.0388
' true',0.0415,-0.1153
' true',0.0451,-0.0161
' true',0.0036,-0.0292
' false',0,0.024
' false',0.0003,0.2486
' false',0.0008,-0.134
' true',0.0146,-0.0032
' true',0.0284,-0.0673
' true',0.0033,0.0331
' false',0.0043,0.0624
' false',0.0125,-0.0425
' true',0.0132,0.1715
' false',0.0077,-0.1553
' false',0.0044,-0.0041
' false',0.0068,0.004
' false',0,0.1195
' true',0.0125,-0.1172
' false',0.0179,0.0646
' false',0.0012,-0.0864
' false',0.0035,-0.0318
' true',0.0088,-0.0017
' true',0.0128,-0.0002
' false',0.0126,0.0586
' false',0.0008,-0.0873
' true',0.0072,0.1427
' false',0.0114,0.0666
' true',0.0033,0.1015
' false',0.0008,-0.2095
' false',0.0011,-0.0058
' false',0.0006,0.3292
' true',0.0236,-0.255
' false',0.0306,0.0997
' false',0.004,-0.1958
' false',0.0005,0.1806
' true',0.0044,-0.0758
' false',0.0061,0.6257
' true',0.0181,0.2065
' true',0.1968,-0.1786
' false',0.2001,0.1364
' true',0.0087,-0.4672
' true',0.0109,0.4191
' false',0.012,-0.3916
' false',0.0003,-0.0354
' true',0.0061,0.147
' true',0.0108,-0.2517
' false',0.005,0.1285
' true',0.0175,0.4813
' false',0.0087,-0.1655
' false',0.0011,0.2086
' false',0.0009,-0.2832
' true',0.0096,0.1601
' true',0.0304,0.1372
' true',0.0324,-0.2784
' true',0.0242,0.3326
' true',0.0246,-0.2103
' true',0.0237,-0.0808
' false',0.0246,0.3665
' true',0.0152,-0.6004
' true',0.0427,-0.2739
' true',0.0362,-0.1654
' false',0.0235,0.3832
' true',0.0238,0.0276
' true',0.026,-0.4053
' false',0.0096,0.0837
' false',0.0053,0.5089
' false',0.0073,-0.0462
' false',0.0062,-0.2407
' true',0.0161,0.0257
' false',0.0241,-0.1373
' true',0.0152,-0.266
' false',0.0293,0.7123
' true',0.0428,0.4716
' false',0.0267,-1.1112
' true',0.0323,0.1063
' true',0.0176,0.483
' false',0.0184,-0.0554
' true',0.0134,0.2065
' true',0.0326,-0.1181
' false',0.0311,0.1706
' true',0.0173,-0.0665
' false',0.0167,-0.7642
' false',0.0087,0.661
' true',0.0175,0.0185
' false',0.0263,-0.0172
' true',0.0058,-0.6687
' true',0.017,0.8659
' true',0.0106,-0.9235
' false',0.0067,0.0809
' true',0.0138,-0.01
' false',0.014,-0.0055
' false',0.0055,0.1319
' true',0.0115,-0.1406
' false',0.0068,0.1396
' false',0.0018,0.0981
' false',0.0071,-0.3048
' true',0.0208,0.174
' false',0.0146,-0.2321
' false',0.0003,-0.0308
' false',0.0039,-0.0099
' true',0.0005,-0.0173
' false',0.0018,0.1655
' true',0.008,0.2614
' false',0.0067,-0.1949
' false',0.0062,0.4631
' true',0.0087,-0.4747
' true',0.0068,-0.0802
' false',0.009,0.0855
' true',0.0082,-0.0269
' false',0,-0.038
' true',0.0146,-0.029
' true',0.0132,0.0003
' false',0.004,0.0191
' false',0.003,0.1173
' true',0.0365,-0.1729
' false',0.0381,0.1477
' false',0.0112,-0.1842
' false',0.0065,0.504
' true',0.0041,0.0693
' true',0.0181,-0.5949
' false',0.0036,0.1103
' true',0.0084,0.3859
' false',0.0055,-0.2383
' true',0.0052,-0.2832
' false',0.0056,0.0726
' false',0.0009,0.7424
' false',0.0111,-0.0214
' true',0.0179,0.3923
' false',0.0207,-0.6177
' false',0.0192,-0.2348
' true',0.0163,0.3023
' true',0.0663,0.0539
' false',0.0521,-0.1015
' true',0.0155,-0.1888
' false',0.0156,0.0343
' true',0.0079,0.2914
' false',0.0011,-0.352
' false',0.005,-0.0947
' true',0.012,0.466
' true',0.0592,0.4571
' false',0.0052,-0.3699
' false',0.0167,0.0169
' true',0.0278,-0.6977
' false',0.0115,0.7686
' true',0.0085,0.3878
' true',0.0161,-1.1039
' true',0.0126,0.1925
' false',0.0036,-0.2743
' false',0.0036,0.0922
' true',0.0327,0.7457
' false',0.0331,-0.1832
' true',0.0036,0.0128
' true',0.0035,-0.0605
' false',0.0033,-0.1111
' true',0.0158,0.7679
' true',0.0257,-0.5411
' false',0.0155,0.5146
' true',0.0406,-0.3705
' false',0.0222,-0.4932
' false',0.0138,0.1546
' false',0.0091,0.2105
' true',0.0383,0.5566
' false',0.0233,-0.4374
' true',0.0535,-0.0834
' false',0.0558,0.1665
' true',0.0058,-0.8258
' true',0.0182,-0.0957
' false',0.0146,0.6768
' true',0.0471,0.1118
' false',0.0471,-0.383
' false',0.0099,0.1481
' true',0.0156,0.353
' false',0.0207,-0.6795
' true',0.0015,-0.0234
' true',0.0217,0.4742
' false',0.0125,-0.0715
' false',0.0106,-0.0761
' false',-0.0032,0.1922
' false',0.0049,-0.094
' true',0.0091,-0.1858
' true',0.0187,-0.2953
' true',0.0406,0.1209
' false',0.01,0.4009
' true',0.0055,0.4435
' false',0.0018,-0.0239
' true',0.0172,-0.5691
' false',0.0187,0.4799
' true',0.0131,-0.2652
' true',0.0229,0.0068
' true',0.0302,0.258
' false',0.016,-0.3375
' false',0.0038,-0.313
' false',0.0099,-0.34
' false',-0.0023,0.0017
' false',0.0005,0.0128
' true',0.0029,0.0017
